id,facility_id,year,type,material,value_tonnes,amount_sold_tonnes,reporting_period,source_id,comment
1,COM00003.00,2001,Clean coal,F.sbc,5356109,5356109,,det_2199,
2,COM00003.00,2001,Coal mined,F.sbc,5356109,5356109,,det_2199,
3,COM00003.00,2002,Clean coal,F.sbc,4681152,4681152,,det_2198,
4,COM00003.00,2002,Coal mined,F.sbc,4681152,4681152,,det_2198,
5,COM00003.00,2003,Clean coal,F.sbc,5457715,5457715,,det_2197,
6,COM00003.00,2003,Coal mined,F.sbc,5457715,5457715,,det_2197,
7,COM00003.00,2004,Clean coal,F.sbc,5885914,5885914,,det_2196,
8,COM00003.00,2004,Coal mined,F.sbc,5885914,5885914,,det_2196,
9,COM00003.00,2005,Clean coal,F.sbc,5863234,5863234,,det_2195,
10,COM00003.00,2005,Coal mined,F.sbc,5863234,5863234,,det_2195,
11,COM00003.00,2006,Clean coal,F.sbc,6149002,6422069,,det_2194,
12,COM00003.00,2006,Coal mined,F.sbc,6149002,6422069,,det_2194,
13,COM00003.00,2007,Clean coal,F.sbc,6667920,6665198,,det_2193,
14,COM00003.00,2007,Coal mined,F.sbc,6667920,6665198,,det_2193,
15,COM00003.00,2008,Clean coal,F.sbc,5797915,5822410,,det_2192,
16,COM00003.00,2008,Coal mined,F.sbc,5797915,5822410,,det_2192,
17,COM00003.00,2009,Clean coal,F.sbc,5315285,5362459,,det_2191,
18,COM00003.00,2009,Coal mined,F.sbc,5315285,5362459,,det_2191,
19,COM00003.00,2010,Clean coal,F.sbc,4958755,4959662,,det_2190,
20,COM00003.00,2010,Coal mined,F.sbc,4958755,4959662,,det_2190,
21,COM00003.00,2011,Clean coal,F.sbc,5023166,5041310,,det_2189,
22,COM00003.00,2011,Coal mined,F.sbc,5023166,5041310,,det_2189,
23,COM00003.00,2012,Clean coal,F.sbc,2483914,2462141,,det_2188,
24,COM00003.00,2012,Coal mined,F.sbc,2483914,2462141,,det_2188,
25,COM00003.00,2013,Clean coal,F.sbc,3755808,3781210,,det_2187,
26,COM00003.00,2013,Coal mined,F.sbc,3755808,3781210,,det_2187,
27,COM00003.00,2014,Clean coal,F.sbc,5998406,5948510,,det_2186,
28,COM00003.00,2014,Coal mined,F.sbc,5998406,5948510,,det_2186,
29,COM00003.00,2015,Clean coal,F.sbc,5336150,5301677,,det_2185,
30,COM00003.00,2015,Coal mined,F.sbc,5336150,5301677,,det_2185,
31,COM00003.00,2016,Clean coal,F.sbc,3751272,3771230,,det_1878,
32,COM00003.00,2016,Coal mined,F.sbc,3751272,3771230,,det_1878,
33,COM00003.00,2017,Clean coal,F.sbc,3235075,3241426,,det_1427,
34,COM00003.00,2017,Coal mined,F.sbc,3235075,3241426,,det_1427,
35,COM00011.00,2000,Clean coal,F.stc,1632960,,,det_1396,
36,COM00011.00,2000,Coal mined,F.stc,1632960,,,det_1396,
37,COM00011.00,2001,Clean coal,F.stc,1542240,,,det_1396,
38,COM00011.00,2001,Coal mined,F.stc,1542240,,,det_1396,
39,COM00011.00,2002,Clean coal,F.stc,1632960,,,det_1395,
40,COM00011.00,2002,Coal mined,F.stc,1632960,,,det_1395,
41,COM00011.00,2003,Clean coal,F.stc,1723680,,,det_1395,
42,COM00011.00,2003,Coal mined,F.stc,1723680,,,det_1395,
43,COM00011.00,2004,Clean coal,F.stc,1632960,,,det_1395,
44,COM00011.00,2004,Coal mined,F.stc,1632960,,,det_1395,
45,COM00011.00,2005,Clean coal,F.stc,1905120,,,det_1392,
46,COM00011.00,2005,Coal mined,F.stc,1905120,,,det_1392,
47,COM00011.00,2006,Clean coal,F.stc,1995840,,,det_1392,
48,COM00011.00,2006,Coal mined,F.stc,1995840,,,det_1392,
49,COM00011.00,2007,Clean coal,F.stc,1905120,,,det_1392,
50,COM00011.00,2007,Coal mined,F.stc,1905120,,,det_1392,
51,COM00011.00,2008,Clean coal,F.stc,1723680,,,det_1393,
52,COM00011.00,2008,Coal mined,F.stc,1723680,,,det_1393,
53,COM00011.00,2009,Clean coal,F.stc,1451520,,,det_1393,
54,COM00011.00,2009,Coal mined,F.stc,1451520,,,det_1393,
55,COM00011.00,2010,Clean coal,F.stc,997920,,,det_1393,
56,COM00011.00,2010,Coal mined,F.stc,997920,,,det_1393,
57,COM00011.00,2011,Clean coal,F.stc,1088640,,,det_2149,
58,COM00011.00,2011,Coal mined,F.stc,1088640,,,det_2149,
59,COM00012.00,2016,Clean coal,F.coal,800000,,,det_2657,
60,COM00012.00,2016,Coal mined,F.coal,800000,,,det_2657,
61,COM00012.00,2017,Clean coal,F.coal,800000,,,det_2650,
62,COM00012.00,2017,Coal mined,F.coal,800000,,,det_2650,
63,COM00012.00,2018,Clean coal,F.coal,700000,,,det_2649,
64,COM00012.00,2018,Coal mined,F.coal,700000,,,det_2649,
65,COM00012.00,2019,Clean coal,F.coal,1200000,,,det_2648,
66,COM00012.00,2019,Coal mined,F.coal,1200000,,,det_2648,
67,COM00012.00,2020,Clean coal,F.coal,1500000,,,det_1591,
68,COM00012.00,2020,Coal mined,F.coal,1500000,,,det_1591,
69,COM00020.00,2012,Clean coal,F.stc,2205000,,,det_1564,
70,COM00020.00,2012,Coal mined,F.stc,2205000,,,det_1564,
71,COM00020.00,2013,Clean coal,F.stc,1353000,,,det_1563,
72,COM00020.00,2013,Coal mined,F.stc,1353000,,,det_1563,
73,COM00020.00,2014,Clean coal,F.stc,515000,,,det_2562,
74,COM00020.00,2014,Coal mined,F.stc,515000,,,det_2562,
75,COM00020.00,2015,Clean coal,F.stc,2501000,,,det_1570,
76,COM00020.00,2015,Coal mined,F.stc,2501000,,,det_1570,
77,COM00037.00,2001,Clean coal,F.coal,453600,,,det_1425,
78,COM00037.00,2001,Coal mined,F.coal,453600,,,det_1425,
79,COM00037.00,2002,Clean coal,F.coal,453600,,,det_1425,
80,COM00037.00,2002,Coal mined,F.coal,453600,,,det_1425,
81,COM00037.00,2003,Clean coal,F.coal,635040,,,det_1423,
82,COM00037.00,2003,Coal mined,F.coal,635040,,,det_1423,
83,COM00037.00,2004,Clean coal,F.coal,635040,,,det_1423,
84,COM00037.00,2004,Coal mined,F.coal,635040,,,det_1423,
